;Number of cuts;Length of X;K subsets;Neighbors;Train error;Train var. error;Train bias error;Train list errors;Test error;Test var. error;Test bias error;Test list errors
0;3;480;1;1;0.0;0.0;0.0;[0.0];0.54347;0.0;0.7372041779588611;[0.54347]
1;3;480;1;3;0.201848;0.0;0.44927497148183093;[0.201848];0.618685;0.0;0.7865653183302707;[0.618685]
2;3;480;1;5;0.317378;0.0;0.5633631155835461;[0.317378];0.654359;0.0;0.8089245947552838;[0.654359]
3;3;480;1;20;0.54703;0.0;0.7396147645903237;[0.54703];0.704503;0.0;0.8393467698156704;[0.704503]
4;3;480;1;50;0.635988;0.0;0.7974885579116481;[0.635988];0.721592;0.0;0.8494657144346675;[0.721592]
5;3;480;1;100;0.691421;0.0;0.8315172878539567;[0.691421];0.739928;0.0;0.8601906765363131;[0.739928]
6;3;480;1;200;0.719314;0.0;0.8481238117161904;[0.719314];0.752276;0.0;0.8673384575815832;[0.752276]
7;3;480;2;1;0.0;0.0;0.0;[0.0, 0.0];0.5426610000000001;6.544810000000067e-07;0.7366548347217984;[0.54347, 0.541852]
8;3;480;2;3;0.1988125;9.214260249999978e-06;0.4458736208162017;[0.201848, 0.195777];0.6175525;1.282556250000082e-06;0.7858442704784135;[0.618685, 0.61642]
9;3;480;2;5;0.318038;4.3559999999999196e-07;0.56394819301067;[0.317378, 0.318698];0.651562;7.823208999999967e-06;0.8071890588895516;[0.654359, 0.648765]
10;3;480;2;20;0.5521335;2.604571224999983e-05;0.7430393356261498;[0.54703, 0.557237];0.7036095;7.983422499999849e-07;0.8388138659188641;[0.704503, 0.702716]
11;3;480;2;50;0.635636;1.2390400000001336e-07;0.7972677568395702;[0.635988, 0.635284];0.72166;4.6240000000017e-09;0.8495057359288399;[0.721592, 0.721728]
12;3;480;2;100;0.690233;1.4113439999999213e-06;0.8308017745864533;[0.691421, 0.689045];0.738174;3.076516000000117e-06;0.8591687398200659;[0.739928, 0.73642]
13;3;480;2;200;0.718478;6.988960000000057e-07;0.847630403598172;[0.719314, 0.717642];0.748175;1.681820099999972e-05;0.8649613759001035;[0.752276, 0.744074]
14;3;480;3;1;0.0;0.0;0.0;[0.0, 0.0, 0.0];0.5407963333333333;7.390284222222334e-06;0.7353835346600515;[0.54347, 0.541852, 0.537067]
15;3;480;3;3;0.19777133333333333;8.31089622222221e-06;0.4447055457683332;[0.201848, 0.195777, 0.195689];0.6143176666666667;2.1783330888888725e-05;0.7837703001108027;[0.618685, 0.61642, 0.607848]
16;3;480;3;5;0.316498;5.0336000000000216e-06;0.5625770759638186;[0.317378, 0.318698, 0.313418];0.6500706666666667;9.663622888888933e-06;0.8062636064239647;[0.654359, 0.648765, 0.647088]
17;3;480;3;20;0.5494646666666667;3.160915088888867e-05;0.74123751761212;[0.54703, 0.557237, 0.544127];0.7019053333333334;6.34059622222213e-06;0.8377941231216123;[0.704503, 0.702716, 0.698497]
18;3;480;3;50;0.637601;7.805052666666632e-06;0.7984943299406285;[0.635988, 0.635284, 0.641531];0.7196513333333333;8.072566222222307e-06;0.8483179007701718;[0.721592, 0.721728, 0.715634]
19;3;480;3;100;0.690365;9.757439999999587e-07;0.8308814742524953;[0.691421, 0.689045, 0.690629];0.7378629999999999;2.2444526666667287e-06;0.8589882161865395;[0.739928, 0.73642, 0.737241]
20;3;480;3;200;0.7170846666666666;4.348686222222258e-06;0.8468059506052401;[0.719314, 0.717642, 0.714298];0.749456;1.4494055999999789e-05;0.8657028970403183;[0.752276, 0.744074, 0.752018]
21;3;480;4;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0];0.54031725;6.231275687500059e-06;0.7350585138098276;[0.54347, 0.541852, 0.537067, 0.53888]
