;Number of cuts;Length of X;K fold;Neighbors;Train error;Train var. error;Train bias error;Train list errors;Test error;Test var. error;Test bias error;Test list errors
0;3;480;2;1;0.0;0.0;0.0;[0.0, 0.0];0.5436965;1.1665640250000107e-05;0.7373498724213289;[0.547112, 0.540281]
1;3;480;2;3;0.3298635;3.5462024999999856e-07;0.5743371356439961;[0.329268, 0.330459];0.6371255;2.1701622250000093e-05;0.7981878214917526;[0.632467, 0.641784]
2;3;480;2;5;0.404139;2.1904000000002735e-08;0.6357192604412737;[0.404287, 0.403991];0.650921;1.9474569000000003e-05;0.8067846834385244;[0.646508, 0.655334]
3;3;480;2;20;0.597709;1.0099683999999736e-05;0.7731098889006659;[0.600887, 0.594531];0.6979124999999999;8.38102499999989e-08;0.8354115250520249;[0.697623, 0.698202]
4;3;480;2;50;0.667242;1.2180099999999951e-05;0.8168413676473542;[0.670732, 0.663752];0.7221165;2.0616140250000026e-05;0.8497622513737298;[0.717576, 0.726657]
5;3;480;2;100;0.701115;2.3134409999999837e-06;0.8373247199020223;[0.702636, 0.699594];0.738622;3.9262755999999925e-05;0.8594083646579198;[0.732356, 0.744888]
6;3;480;2;200;0.725319;2.2915369000000396e-05;0.851643167430468;[0.730106, 0.720532];0.751063;1.3542400000000121e-05;0.8666310966033933;[0.747383, 0.754743]
7;3;480;3;1;0.0;0.0;0.0;[0.0, 0.0, 0.0];0.4928866666666667;4.609282222222056e-07;0.702058548654202;[0.492887, 0.492055, 0.493718]
8;3;480;3;3;0.301657;3.4608979999999747e-06;0.549229951024159;[0.302846, 0.303095, 0.29903];0.5978943333333334;4.165068422222269e-05;0.7732093394735421;[0.588768, 0.602365, 0.60255]
9;3;480;3;5;0.38273666666666667;4.672740222222286e-06;0.6186533713853376;[0.380358, 0.385589, 0.382263];0.620435;8.104040666666612e-06;0.787671819960149;[0.616479, 0.621766, 0.62306]
10;3;480;3;20;0.5779396666666666;5.2448542222222264e-06;0.7602199825132488;[0.578899, 0.580139, 0.574781];0.6806066666666667;0.00010963199355555583;0.8249224416107924;[0.671716, 0.695307, 0.674797]
11;3;480;3;50;0.6527993333333333;2.651470888888839e-06;0.8079583416627645;[0.650499, 0.654042, 0.653857];0.7099840000000001;3.3814368666666604e-05;0.842585417409614;[0.703307, 0.71748, 0.709165]
12;3;480;3;100;0.6938166666666667;4.351126888888938e-06;0.8329539696404464;[0.691242, 0.696351, 0.693857];0.7320936666666666;6.9818495555555605e-06;0.8556206430522297;[0.731942, 0.735403, 0.728936]
13;3;480;3;200;0.7186983333333333;1.344382222222085e-07;0.8477606967152411;[0.719143, 0.718707, 0.718245];0.7424399999999999;1.1462856000000069e-05;0.8616429290280284;[0.74007, 0.747228, 0.740022]
14;3;480;4;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0];0.47650375;3.1746896187499974e-05;0.6902695148301223;[0.482266, 0.479675, 0.476718, 0.467356]
15;3;480;4;3;0.287902;9.482113999999978e-06;0.5365561647078524;[0.288084, 0.292166, 0.283462, 0.287896];0.5783087499999999;2.6416937187499954e-05;0.7604487708339152;[0.577833, 0.572062, 0.586351, 0.576989]
