;Number of cuts;Length of X;K subsets;Train error;Train var. error;Train bias error;Train list errors;Test error;Test var. error;Test bias error;Test list errors
0;3;480;1;0.246194;0.0;0.49617940303886054;[0.246194];0.372925;0.0;0.6106758550982674;[0.372925]
1;3;480;2;0.2433345;8.176740250000004e-06;0.49328118072733124;[0.246194, 0.240475];0.378566;3.182088100000008e-05;0.6152513137889264;[0.372925, 0.384207]
2;3;480;3;0.24103233333333332;1.6051102888888882e-05;0.490934091534133;[0.246194, 0.240475, 0.236428];0.38067199999999995;3.0084392666666688e-05;0.6169618429103483;[0.372925, 0.384207, 0.384884]
3;3;480;4;0.240981;1.2046232499999992e-05;0.4908858867063709;[0.246194, 0.240475, 0.236428, 0.240827];0.37784275;4.6577261187500106e-05;0.6146512610731492;[0.372925, 0.384207, 0.384884, 0.369355]
4;3;480;5;0.2433436;3.1964501040000065e-05;0.4932662926847526;[0.246194, 0.240475, 0.236428, 0.240827, 0.252794];0.3766594;4.286307784000014e-05;0.6136909131820024;[0.372925, 0.384207, 0.384884, 0.369355, 0.371926]
5;3;480;6;0.24131099999999997;4.729439800000009e-05;0.49118601934704936;[0.246194, 0.240475, 0.236428, 0.240827, 0.252794, 0.231148];0.376485;3.587130833333345e-05;0.6135545034401317;[0.372925, 0.384207, 0.384884, 0.369355, 0.371926, 0.375613]
6;4;240;1;0.379762;0.0;0.616248326569736;[0.379762];0.46594;0.0;0.6825979783152013;[0.46594]
7;4;240;2;0.37738649999999996;5.6430002500000126e-06;0.6143133215222912;[0.379762, 0.375011];0.4661635;4.995224999999446e-08;0.6827616348680922;[0.46594, 0.466387]
8;4;240;3;0.3788236666666666;7.892896222222222e-06;0.6154801164704221;[0.379762, 0.375011, 0.381698];0.4689683333333334;1.576748155555552e-05;0.684801114084796;[0.46594, 0.466387, 0.474578]
9;4;240;4;0.38013624999999995;1.1088297187500083e-05;0.616542911485334;[0.379762, 0.375011, 0.381698, 0.384074];0.46794825;1.4947321187499944e-05;0.6840565054721813;[0.46594, 0.466387, 0.474578, 0.464888]
10;4;240;5;0.38222599999999995;2.6338858000000133e-05;0.6182229865849376;[0.379762, 0.375011, 0.381698, 0.384074, 0.390585];0.46693239999999997;1.6085661840000013e-05;0.6833127500187304;[0.46594, 0.466387, 0.474578, 0.464888, 0.462869]
11;4;240;6;0.38105283333333334;2.8830648472222348e-05;0.6172714173561425;[0.379762, 0.375011, 0.381698, 0.384074, 0.390585, 0.375187];0.46772549999999996;1.6549756250000045e-05;0.6838924990404194;[0.46594, 0.466387, 0.474578, 0.464888, 0.462869, 0.471691]
12;5;120;1;0.475055;0.0;0.6892423376432995;[0.475055];0.528363;0.0;0.7268858232212264;[0.528363]
13;5;120;2;0.4692915;3.321793225000005e-05;0.6850242930493414;[0.475055, 0.463528];0.526354;4.036081000000155e-06;0.7254998028387051;[0.528363, 0.524345]
14;5;120;3;0.4709193333333333;2.7444970888888952e-05;0.6862156281828944;[0.475055, 0.463528, 0.474175];0.528625;1.3005602666666641e-05;0.7270570778125561;[0.528363, 0.524345, 0.533167]
15;5;120;4;0.47131524999999996;2.105397818750005e-05;0.6865087006162504;[0.475055, 0.463528, 0.474175, 0.472503];0.525439;4.02059899999997e-05;0.7248439790810157;[0.528363, 0.524345, 0.533167, 0.515881]
16;5;120;5;0.47311899999999996;2.985723879999998e-05;0.6878147590457767;[0.475055, 0.463528, 0.474175, 0.472503, 0.480334];0.5235268;4.6790827359999885e-05;0.7235191836935908;[0.528363, 0.524345, 0.533167, 0.515881, 0.515878]
17;5;120;6;0.4733096666666667;2.5062801222222203e-05;0.6879568328503209;[0.475055, 0.463528, 0.474175, 0.472503, 0.480334, 0.474263];0.5240583333333333;4.0404994555555446e-05;0.7238908262568173;[0.528363, 0.524345, 0.533167, 0.515881, 0.515878, 0.526716]
18;6;60;1;0.583722;0.0;0.7640170155173247;[0.583722];0.617042;0.0;0.7855202097973036;[0.617042]
19;6;60;2;0.583458;6.969599999999284e-08;0.7638441793350265;[0.583722, 0.583194];0.6204959999999999;1.1930116000000088e-05;0.7877081121100632;[0.617042, 0.62395]
20;6;60;3;0.583722;1.8585600000002003e-07;0.7640168938865161;[0.583722, 0.583194, 0.58425];0.61991;8.64020266666671e-06;0.7873381483183279;[0.617042, 0.62395, 0.618738]
21;6;60;4;0.58499775;5.022006187500097e-06;0.7648481731649834;[0.583722, 0.583194, 0.58425, 0.588825];0.6151184999999999;7.535556875000042e-05;0.7842468644701424;[0.617042, 0.62395, 0.618738, 0.600744]
22;6;60;5;0.5868544;1.7806201839999892e-05;0.7660526051115288;[0.583722, 0.583194, 0.58425, 0.588825, 0.594281];0.6142497999999998;6.330301376000037e-05;0.7837005148564341;[0.617042, 0.62395, 0.618738, 0.600744, 0.610775]
23;6;60;6;0.5872268333333334;1.5532034472222118e-05;0.7662971364287231;[0.583722, 0.583194, 0.58425, 0.588825, 0.594281, 0.589089];0.6136109999999999;5.479283866666698e-05;0.7832982874750418;[0.617042, 0.62395, 0.618738, 0.600744, 0.610775, 0.610417]
24;7;60;1;0.583722;0.0;0.7640170155173247;[0.583722];0.617042;0.0;0.7855202097973036;[0.617042]
25;7;60;2;0.583458;6.969599999999284e-08;0.7638441793350265;[0.583722, 0.583194];0.6203719999999999;1.1088899999999998e-05;0.7876299328364812;[0.617042, 0.623702]
26;7;60;3;0.5836926666666667;1.5660088888887863e-07;0.7639977160082206;[0.583722, 0.583194, 0.584162];0.6198273333333333;7.985923555555531e-06;0.7872860645342186;[0.617042, 0.623702, 0.618738]
27;7;60;4;0.58504175;5.577528187499998e-06;0.7648765733579586;[0.583722, 0.583194, 0.584162, 0.589089];0.6150564999999999;7.42719947500003e-05;0.784208025976048;[0.617042, 0.623702, 0.618738, 0.600744]
28;7;60;5;0.5868896;1.812022103999993e-05;0.7660753747373427;[0.583722, 0.583194, 0.584162, 0.589089, 0.594281];0.6141753999999999;6.252294464000014e-05;0.783653544020162;[0.617042, 0.623702, 0.618738, 0.600744, 0.610651]
29;7;60;6;0.5872415000000001;1.571935224999996e-05;0.7663065839778164;[0.583722, 0.583194, 0.584162, 0.589089, 0.594281, 0.589001];0.6135489999999999;5.406433866666678e-05;0.7832591752806559;[0.617042, 0.623702, 0.618738, 0.600744, 0.610651, 0.610417]
30;8;60;1;0.583722;0.0;0.7640170155173247;[0.583722];0.617042;0.0;0.7855202097973036;[0.617042]
31;8;60;2;0.583458;6.969599999999284e-08;0.7638441793350265;[0.583722, 0.583194];0.6204959999999999;1.1930116000000088e-05;0.7877081121100632;[0.617042, 0.62395]
32;8;60;3;0.5836926666666667;1.5660088888887863e-07;0.7639977160082206;[0.583722, 0.583194, 0.584162];0.61991;8.64020266666671e-06;0.7873381483183279;[0.617042, 0.62395, 0.618738]
33;8;60;4;0.5849977500000001;5.2271781875000885e-06;0.7648480390390058;[0.583722, 0.583194, 0.584162, 0.588913];0.6150875;7.624967074999971e-05;0.7842265299830464;[0.617042, 0.62395, 0.618738, 0.60062]
34;8;60;5;0.5868544000000001;1.7970339439999965e-05;0.7660524979794532;[0.583722, 0.583194, 0.584162, 0.588913, 0.594281];0.614225;6.397536159999983e-05;0.7836842633601877;[0.617042, 0.62395, 0.618738, 0.60062, 0.610775]
35;8;60;6;0.5872268333333334;1.566881580555553e-05;0.7662970471804833;[0.583722, 0.583194, 0.584162, 0.588913, 0.594281, 0.589089];0.6136311666666666;5.507599147222205e-05;0.783310979544647;[0.617042, 0.62395, 0.618738, 0.60062, 0.610775, 0.610662]
