;Number of cuts;Length of X;K fold;Train error;Train var. error;Train bias error;Train list errors;Test error;Test var. error;Test bias error;Test list errors
0;3;480;2;0.25029250000000003;7.2603302500000136e-06;0.5002851583544629;[0.247598, 0.252987];0.367248;7.806435999999948e-06;0.6060034600264259;[0.364454, 0.370042]
1;3;480;3;0.2616556666666667;1.9593986888888837e-05;0.5115037367212265;[0.264228, 0.255427, 0.265312];0.3536983333333333;7.326797555555558e-06;0.594719266995595;[0.352854, 0.357354, 0.350887]
2;3;480;4;0.26683925;1.171412668749995e-05;0.5165535169499018;[0.269935, 0.263262, 0.26359, 0.27057];0.35369875;0.0001026582986875001;0.5946394636259121;[0.345567, 0.356984, 0.36881, 0.343434]
3;3;480;5;0.2684608;8.003274560000003e-06;0.5181243062484523;[0.272076, 0.264916, 0.26759, 0.266282, 0.27144];0.3500648;8.47983289599999e-05;0.5915910763957144;[0.336515, 0.361145, 0.352941, 0.357253, 0.34247]
4;3;480;6;0.2702715;6.206609583333326e-06;0.5198704582782298;[0.274205, 0.268051, 0.269234, 0.268938, 0.267977, 0.273224];0.34495383333333335;8.876368847222226e-05;0.5872521346447888;[0.331363, 0.350333, 0.348854, 0.359941, 0.342942, 0.33629]
5;3;480;7;0.271263;2.496284571428574e-06;0.5208267501918739;[0.272041, 0.271538, 0.269239, 0.269167, 0.27195, 0.270872, 0.274034];0.34532199999999996;8.409406485714302e-05;0.5875694903031835;[0.336207, 0.346552, 0.35, 0.35431, 0.352307, 0.350582, 0.327296]
6;3;480;8;0.272182625;4.0066789843749875e-06;0.5217074068105758;[0.275287, 0.270993, 0.271204, 0.27226, 0.270852, 0.268863, 0.274564, 0.273438];0.343413;8.171248649999984e-05;0.5859447819662703;[0.333498, 0.339409, 0.342365, 0.352217, 0.356158, 0.353869, 0.339576, 0.330212]
7;4;240;2;0.38732500000000003;7.551504000000002e-06;0.6223483337295923;[0.384577, 0.390073];0.460245;4.769855999999963e-06;0.6784100752082033;[0.458061, 0.462429]
8;4;240;3;0.3977026666666667;8.92890822222214e-06;0.630629635965869;[0.396341, 0.394919, 0.401848];0.4514383333333334;3.460952288888882e-05;0.671865852540851;[0.447996, 0.459719, 0.4466]
9;4;240;4;0.40023824999999996;1.5922953687500005e-05;0.6326312725800965;[0.400263, 0.39752, 0.396453, 0.406717];0.4489745;0.00018567640325000025;0.6699170273972367;[0.44803, 0.446415, 0.46982, 0.431633]
10;4;240;5;0.4015212;1.7105292560000016e-05;0.6336435075872237;[0.403418, 0.397798, 0.400539, 0.397306, 0.408545];0.44965219999999995;0.00015031022855999972;0.6704490210086371;[0.440271, 0.456281, 0.447798, 0.469356, 0.434555]
11;4;240;6;0.4032271666666667;7.830130472222254e-06;0.634995540564022;[0.405026, 0.398566, 0.402779, 0.402779, 0.402409, 0.407804];0.447189;0.00012386124466666655;0.6686292984571744;[0.437385, 0.45085, 0.451589, 0.45861, 0.457132, 0.427568]
