;Number of cuts;Length of X;K fold;Train error;Train var. error;Train bias error;Train list errors;Test error;Test var. error;Test bias error;Test list errors
0;3;480;2;0.24770599999999998;2.9206810000000076e-06;0.497697779097918;[0.245997, 0.249415];0.368541;1.4616810000000377e-06;0.6070745739355257;[0.36975, 0.367332]
1;3;480;3;0.26190166666666664;1.073938888888875e-06;0.5117622423819266;[0.26044, 0.262725, 0.26254];0.3561003333333333;2.3526406222222243e-05;0.5967217164869325;[0.355441, 0.362343, 0.350517]
2;3;480;4;0.267147;3.4309035000000238e-06;0.5168593320203283;[0.264433, 0.269092, 0.266464, 0.268599];0.35074249999999996;1.0474178249999996e-05;0.5922263298957164;[0.34803, 0.354767, 0.353043, 0.34713]
3;3;480;5;0.26875340000000003;2.004107839999992e-06;0.5184123801493942;[0.26661, 0.270922, 0.26836, 0.268437, 0.269438];0.3459382;1.990184695999994e-05;0.5881481940404476;[0.347599, 0.345135, 0.353249, 0.34401, 0.339698]
4;3;480;6;0.270592;1.2736346666666746e-06;0.5201833584086801;[0.268441, 0.271303, 0.271968, 0.270638, 0.271155, 0.270047];0.34753933333333337;5.046959888888872e-06;0.5895203867326765;[0.349464, 0.346268, 0.349963, 0.349593, 0.34405, 0.345898]
5;3;480;7;0.2719918571428571;3.799687836734684e-06;0.5215247428981873;[0.26888, 0.274269, 0.271826, 0.269526, 0.272237, 0.274034, 0.273171];0.3468002857142857;1.2395990204081605e-05;0.5888869923203277;[0.350431, 0.34569, 0.346983, 0.349569, 0.34972, 0.345839, 0.33937]
6;3;480;8;0.27214712500000005;2.499957109375005e-06;0.5216748269208422;[0.270852, 0.27043, 0.273738, 0.271767, 0.272119, 0.269989, 0.274352, 0.27393];0.345383375;2.7641915234375085e-05;0.5876697483151277;[0.353202, 0.341379, 0.341872, 0.353202, 0.347783, 0.343519, 0.344505, 0.337605]
7;4;240;2;0.39015849999999996;7.548756249999924e-06;0.6246206458673537;[0.387411, 0.392906];0.45901349999999996;1.887468025000001e-05;0.6774914208458657;[0.463358, 0.454669]
8;4;240;3;0.39945766666666666;8.218842888888855e-06;0.632020132451315;[0.397542, 0.397321, 0.40351];0.452855;3.117060066666664e-05;0.6729218598019635;[0.445224, 0.458426, 0.454915]
9;4;240;4;0.4014495;1.4173057250000015e-05;0.6335892414985832;[0.399688, 0.399327, 0.398834, 0.407949];0.45113000000000003;3.248850849999987e-05;0.6716379318438619;[0.450985, 0.460458, 0.447154, 0.445923]
10;4;240;5;0.4021678000000001;7.25360256000002e-06;0.6341612936764905;[0.397644, 0.402186, 0.403156, 0.401848, 0.406005];0.4498366000000001;5.281329224000014e-05;0.6706592180144548;[0.446736, 0.455049, 0.459809, 0.44903, 0.438559]
11;4;240;6;0.4032026666666666;8.55329788888892e-06;0.634975679352192;[0.397931, 0.40677, 0.403518, 0.401079, 0.40507, 0.404848];0.44879;0.00011876006300000011;0.6698292617801943;[0.44625, 0.44272, 0.470067, 0.43422, 0.45085, 0.448633]
12;4;240;7;0.40365628571428575;7.522726489795921e-06;0.6353335840232247;[0.399296, 0.405475, 0.402242, 0.405332, 0.40092, 0.407817, 0.404512];0.44971342857142854;6.028682653061213e-05;0.6705618105327039;[0.444397, 0.439655, 0.466379, 0.450862, 0.446313, 0.449332, 0.451056]
13;4;240;8;0.4041035;2.769634750000016e-06;0.6356891774800402;[0.402126, 0.407405, 0.404378, 0.404097, 0.402759, 0.402801, 0.405898, 0.403364];0.448174375;8.593524423437498e-05;0.6693940840459868;[0.443842, 0.439409, 0.451724, 0.464039, 0.433498, 0.457861, 0.450468, 0.444554]
14;5;120;2;0.478721;4.519876000000071e-06;0.6918934022839067;[0.476595, 0.480847];0.5188765;1.9168402500000298e-06;0.720329496244427;[0.520261, 0.517492]
15;5;120;3;0.48509566666666665;6.873190888888904e-06;0.6964831609420128;[0.485865, 0.48157, 0.487852];0.5155516666666667;5.747887022222233e-05;0.7179792391124165;[0.507113, 0.525499, 0.514043]
16;5;120;4;0.485455;1.0773929999999996e-05;0.6967382765931552;[0.487887, 0.482181, 0.482263, 0.489489];0.51197925;2.826249618750015e-05;0.7155075034573799;[0.507143, 0.520572, 0.508007, 0.512195]
17;5;120;5;0.48471100000000006;4.971399200000018e-06;0.6962083227029106;[0.48518, 0.484487, 0.484758, 0.481062, 0.488068];0.5119794000000001;3.983375223999991e-05;0.7154995221855568;[0.511392, 0.503079, 0.522328, 0.509085, 0.514013]
18;5;120;6;0.48641983333333333;4.6434668055555234e-06;0.6974347208639156;[0.484848, 0.48873, 0.485256, 0.483039, 0.488212, 0.488434];0.5100698333333333;0.00012638939980555533;0.7141032445896935;[0.50942, 0.498522, 0.53289, 0.501109, 0.505913, 0.512565]
19;5;120;7;0.48649171428571425;4.5285004897959004e-06;0.6974863337623357;[0.4843, 0.489545, 0.484156, 0.487174, 0.484121, 0.488791, 0.487355];0.5087752857142857;0.00011626023391836733;0.7132033549278686;[0.512931, 0.493103, 0.526293, 0.515948, 0.495903, 0.504959, 0.51229]
20;5;120;8;0.486595875;4.653765359374985e-06;0.6975609086199145;[0.485887, 0.489336, 0.485958, 0.486732, 0.483635, 0.483812, 0.490006, 0.487401];0.50908375;6.566906243750024e-05;0.7134550307745838;[0.513793, 0.495567, 0.510345, 0.526108, 0.507389, 0.508132, 0.504682, 0.506654]
21;6;60;2;0.5909345;7.371224999998919e-08;0.7687225938449774;[0.590663, 0.591206];0.6095335;2.8917002500001673e-06;0.7807244125168303;[0.607833, 0.611234]
22;6;60;3;0.5921046666666667;2.5413910222222026e-05;0.7694668626759988;[0.597376, 0.585312, 0.593626];0.6096576666666667;4.4720882888888455e-05;0.7807771422011391;[0.600222, 0.61493, 0.613821]
23;6;60;4;0.5936235;1.4267233250000114e-05;0.7704604031141055;[0.599244, 0.588602, 0.593119, 0.593529];0.60879525;3.918411968750018e-05;0.7802282139735223;[0.601478, 0.61764, 0.604582, 0.611481]
