;Number of cuts;Length of X;K fold;Train error;Train var. error;Train bias error;Train list errors;Test error;Test var. error;Test bias error;Test list errors
0;3;480;2;0.026175;2.0107239999999974e-06;0.16178068264165535;[0.027593, 0.024757];0.2170965;1.068122249999985e-06;0.46593500821225053;[0.21813, 0.216063]
1;3;480;3;0.027745000000000002;2.791848666666668e-06;0.16655992360508975;[0.029194, 0.025404, 0.028637];0.18340800000000002;1.432143800000002e-05;0.42824488153625373;[0.184556, 0.187361, 0.178307]
2;3;480;4;0.0291515;8.343547499999989e-07;0.17073566014529595;[0.030549, 0.028905, 0.028001, 0.029151];0.169058;1.5398005e-05;0.41114790768651616;[0.171921, 0.170239, 0.171717, 0.162355]
3;3;480;5;0.0292848;5.071605600000003e-07;0.17112654042970657;[0.03041, 0.029025, 0.02856, 0.028637, 0.029792];0.1647472;0.00010983121136000011;0.4057553065440303;[0.165948, 0.163793, 0.172467, 0.175855, 0.145673]
4;3;480;6;0.02987016666666667;6.685678055555565e-07;0.17282794362851486;[0.029786, 0.030744, 0.030079, 0.028158, 0.030301, 0.030153];0.15932766666666665;7.081481488888889e-05;0.3990699836517121;[0.156262, 0.162971, 0.160754, 0.17184, 0.160384, 0.143755]
5;3;480;7;0.029623571428571426;3.3067853061224506e-07;0.1721140341460882;[0.029891, 0.029604, 0.028383, 0.029748, 0.029458, 0.030392, 0.029889];0.15760285714285713;3.923455326530612e-05;0.3969428454949048;[0.156897, 0.156466, 0.161638, 0.159052, 0.164295, 0.161276, 0.143596]
6;3;480;8;0.029817249999999997;3.1175593750000017e-07;0.1726758183535335;[0.030337, 0.029985, 0.030196, 0.029774, 0.028789, 0.029139, 0.030546, 0.029772];0.15372175000000002;0.00010693794993749995;0.3919372552463755;[0.14532, 0.164532, 0.150739, 0.159606, 0.16798, 0.158699, 0.148349, 0.134549]
7;4;240;2;0.0354745;1.2332102500000009e-06;0.1883434808793498;[0.036585, 0.034364];0.277145;1.9600000000000348e-08;0.5264456101061153;[0.277005, 0.277285]
8;4;240;3;0.038307666666666663;3.110375555555554e-07;0.19572264976009063;[0.03908, 0.037783, 0.03806];0.24308699999999997;8.223472666666663e-06;0.49303019839289086;[0.239239, 0.24612, 0.243902]
9;4;240;4;0.03992925;1.2306996874999967e-06;0.1998199672212777;[0.039172, 0.04155, 0.038676, 0.040319];0.22762825;7.848965418750004e-05;0.4770217608724077;[0.22734, 0.22099, 0.242178, 0.220005]
10;4;240;5;0.0405404;2.7195384e-07;0.20134579222362706;[0.040034, 0.041189, 0.04057, 0.039877, 0.041032];0.22362500000000002;0.00011777021640000011;0.4727655124727268;[0.221059, 0.226601, 0.226055, 0.23899, 0.20542]
11;4;240;6;0.04111583333333333;6.468371388888901e-07;0.2027688005985991;[0.040724, 0.041386, 0.041608, 0.039761, 0.040869, 0.042347];0.21672766666666668;9.380458822222226e-05;0.4654394290113854;[0.209826, 0.209904, 0.218034, 0.230968, 0.227273, 0.204361]
12;4;240;7;0.04133571428571429;6.152193469387779e-07;0.2033103515966842;[0.040095, 0.041101, 0.041245, 0.042035, 0.041242, 0.04275, 0.040882];0.21136957142857143;3.5726562530612305e-05;0.4597106099124109;[0.207759, 0.20819, 0.213793, 0.209914, 0.216904, 0.221216, 0.201811]
13;4;240;8;0.042090749999999996;6.244329375000004e-07;0.2051587813549849;[0.041177, 0.042303, 0.042866, 0.042233, 0.040684, 0.0423, 0.041878, 0.043285];0.21149225;0.00020267883868749987;0.45966245350399515;[0.204433, 0.206897, 0.196552, 0.223153, 0.228079, 0.235584, 0.197141, 0.200099]
14;5;120;2;0.037815;2.190399999999996e-06;0.1944551608983418;[0.039295, 0.036335];0.32746200000000003;6.477024999999958e-06;0.5722372960363559;[0.324917, 0.330007]
15;5;120;3;0.04132533333333333;5.966535555555593e-07;0.20328486584046973;[0.040281, 0.042125, 0.04157];0.2978996666666667;8.219466888888887e-06;0.5457943268299679;[0.297986, 0.294346, 0.301367]
16;5;120;4;0.042228499999999995;1.8663582500000021e-06;0.20549120088643696;[0.042293, 0.042289, 0.040236, 0.044096];0.28305749999999996;6.09548182499999e-05;0.5319741959735923;[0.279803, 0.276423, 0.296378, 0.279626]
17;5;120;5;0.0432808;1.456393359999996e-06;0.2080368804001829;[0.041189, 0.043498, 0.044958, 0.043495, 0.043264];0.27640600000000004;4.704122440000006e-05;0.5256985436308531;[0.271552, 0.277401, 0.282107, 0.284878, 0.266092]
18;5;120;6;0.044330833333333326;2.268550805555552e-06;0.2105434985520279;[0.043829, 0.042199, 0.045229, 0.042791, 0.045599, 0.046338];0.27024733333333334;7.31901708888891e-05;0.51978278459607;[0.263022, 0.273097, 0.262749, 0.277162, 0.284183, 0.261271]
